,RAMO_POLIZA_ENDOSO,ASEGURADO,FECHA EMISION,VIGENCIA DESDE,VIGENCIA HASTA,RENOVADA POR,RENUEVA A,CODIGO DE MONEDA,CODIGO DE FACTURACION,CODIGO DE EMISION (MONEDA),%  RECARGO FINANCIERO,%  I.V.A.,%  BONIFICACION TECNICA,CODIGO DE RAMO/SUBRAMOS,SUMA ASEGURADA,PRIMA NETA,DERECHO DE POLIZA/ENDOSO,RECARGO FINANCIERO,I.V.A.,BONIFICACION,BONIFICACION REC.FIN.,BONIFICACION TECNICA,PRIMA (SOLO P/ENDOSO DE REC.FIN),PRIMA TOTAL,CODIGO DE PLAN DE PAGO,COMISION NORMAL,ENDOSO QUE MODIFICA,ACREEDOR PRENDARIO,MARCA DE ANULACION AUTOMATICA,TIPO DE ENDOSOS ASOCIADOS,ENDOSOS ASOCIADOS,FECHA DE REHABILITACION,NUMERO DE SINIESTRO,CODIGO DE SUCURSAL,CODIGO DE OPERACION (COAS),POL/END EN COAS RECIBIDO U OTORGADO,COMPANIA PILOTO,TURISTAS,CAMBIO DE MONEDA,SUMA ASEGURADA         M.E.,DERECHO DE POLIZA/END  M.E.,RECARGO FINANCIERO     M.E.,I.V.A. M.E.,BONIFICACION REC.FIN.  M.E.,BONIFICACION TECNICA   M.E.,PRIMA TOTAL            M.E.,USUARIO QUE EMITE,RENOVACION AUTOMATICA,DIAS DE PERIODO DE GRACIA DEL AGENTE,AUT. EN DIAS DE PERIODO DE GRACIA,% DESC X PERIODO DE GRACIA,DESCTO. PERIODO DE GRACIA,POLITICAS DE BONO A PROMOTOR,MARCA DE DEDUCIBLE ADMINISTRATIVO,PLAN PISO,USUARIO DE QBC,C.P. ASEGURADO,COD. EDO Y GRUPO C.P.,"TIPO DE NEGOCIO (I,FL,C,NE,NF>"
0,048650100400129475,0027202054,20452,20429,20712,,,00,1,1,-480,1600,1500,0402,-722000001,2228524,0,106969,373679,,,393269,,2709172,C,800ý200,214615,,S,201,,,,865,1,,009,,,,0,,,,,,JENIEVES-AUT,,14,,200,-44570,S,,,,42420,13ý21,
0,040190184500000000,0017280804,20204,20216,20582,3320010068,0190168195,00,1,1,240,1600,4327,0401,834700000,397271,55000,9535,73889,0,0,257888,,535695,S,1000,,,,,,,230899445,019,1,,,,,,,,,,,,WSDS11251ý21690ýPRINCIPAL,,14,,200,7945,,,,,32340,08ý02,
0,040860609000000000,0026360810,20658,20710,21075,,0860560566,00,1,1,240,1600,4215,0401,1031600000,878026,60000,21073,153456,0,0,591641,,1112555,S,1000,,,,,,,,086,1,,,,,,,,,,,,WSDS11251ý21690ýPRINCIPAL,,14,,200,17561,,,,,82165,25ý01,
0,040190184600000000,0024118585,20205,20224,20590,,0190168820,00,1,1,-200,1600,3000,0401,617000001,370605,55000,-7412,66911,0,0,139922,,485104,C,1000,000000,,,203,254433,,,019,1,,009,,,,,,,,,,SHINOJOSA2,,14,,200,7412,,,,,01700,09ý03,
0,040860609100000000,0029128201,20658,20658,20841,,,00,1,1,-300,1600,3000,0402,666000001,367044,60000,-11011,66565,0,0,157305,,482598,C,800,000000,,,,,,,086,1,,009,,,,,,,,,,OBARRON,,07,,300,11011,,,,,34290,,
0,040830320500158191,0017541372,20000,20000,20240,,,00,1,1,440,1600,6414,0401,743490001,574825,40000,25292,102419,0,0,978984,,742536,S,1000,000000,,,201,,,,083,1,,009,,,,,,,,,,NCROMAN,,30,,0,0,,,,,15700,09ý11,
0,040190184700000000,0008474337,20206,20206,20572,,,00,1,1,0,1600,5000,0401,738850001,2623771,100000,0,435803,0,0,2570827,,3159574,C,0,000000,,,,,,,019,1,,009,,,,,,,,,,CESPINO,,07,,0,0,,,,,10400,09ý08,
0,040860609200000000,0023799027,20659,20659,21024,,,00,1,1,-200,1600,4500,0401,651400001,572418,60000,-11448,99355,0,0,374183,,720325,A,1000,000000,,,203,276726,,,086,1,,009,,,,,,,,,,MEVELAZQUEZ,,14,,200,11448,,,,,82120,25ý01,
0,044054840300242506,0024532166,20165,20105,20317,,,00,2,1,0,1600,4000,0401,-820900000,-180705,-21000,0,-32270,,,-103355,,-233975,C,1000ý200,164525,,S,202,,,,096,1,,,,,,0,,,,,,AARCE2-AUT,,0,,0,0,,,,,62330,17ý01,
0,040190184800000000,0019911335,20212,20243,20609,,0190168772,00,1,1,-200,1600,3500,0401,656155001,689115,55000,-13782,116853,0,0,347305,,847186,C,1100,000000,,,203,206477,,,019,1,,009,,,,,,,,,,MBERNALS,,14,,200,13782,,,,,36520,11ý03,
