QUALITAS                                               DISENO DE REGISTROS                                                 Pagina: 1

Archivo: PV

------------------------------------------------------------------------------------------------------------------------------------
|Att | Descripcion                             | Formato            | Vinculacion        | Observaciones                           |
------------------------------------------------------------------------------------------------------------------------------------
|  0 | RAMO                                    |                    |                    |                                         |
|  0 | POLIZA                                  |                    |                    |                                         |
|  0 | ENDOSO                                  |                    |                    |                                         |
------------------------------------------------------------------------------------------------------------------------------------
|  1 | ASEGURADO                               |                    |                    |                                         |
|  2 | CALIDAD DEL ASEGURADO                   |                    |                    |                                         |
|  3 | FECHA EMISION                           |                    |                    |                                         |
|  4 | VIGENCIA DESDE                          |                    |                    |                                         |
|  5 | VIGENCIA HASTA                          |                    |                    |                                         |
|  6 | RENOVADA POR                            |                    |                    |                                         |
|  7 | RENUEVA A                               |                    |                    |                                         |
|  8 | CODIGO DE MONEDA                        |                    |                    |                                         |
|  9 | CODIGO DE FACTURACION                   |                    |                    |                                         |
| 10 | CODIGO DE EMISION (MONEDA)              |                    |                    |                                         |
| 11 | %  RECARGO FINANCIERO                   |                    |                    |                                         |
| 12 | %  I.V.A.                               |                    |                    |                                         |
| 13 | %  BONIFICACION                         | N,FI,2D,MV         |                    | mv por att 19                           |
| 14 | %  BONIFICACION REC.FIN.                | N,FI,2D,MV         |                    | mv por att 19                           |
| 15 | %  BONIFICACION TECNICA                 |                    |                    |                                         |
| 16 | COD.CAMBIO REC.FIN./I.V.A.              |                    |                    |                                         |
| 17 | COD.CAMBIO BONIF.(NORMAL/REC.FIN/TEC)   |                    |                    |                                         |
| 18 | COD.CAMBIO DERECHO DE POLIZA            |                    |                    |                                         |
| 19 | CODIGO DE RAMO/SUBRAMOS                 |                    |                    |                                         |
| 20 |                                         |                    |                    |                                         |
| 21 | ANO Y MES: TARIFA,VALORES Y DER.POL     | 4N,MV              |                    | Tarifa y valores solo para autos        |
| 22 | SUMA ASEGURADA                          |                    |                    |                                         |
| 23 | PRIMA NETA                              | N,FI,2D,MV         |                    | (mv por att 19)                         |
| 24 | DERECHO DE POLIZA/ENDOSO                |                    |                    |                                         |
| 25 | RECARGO FINANCIERO                      |                    |                    |                                         |
| 26 | I.V.A.                                  |                    |                    |                                         |
| 27 | BONIFICACION                            | N,FI,2D,MV         |                    | (mv por att 19)                         |
| 28 | BONIFICACION REC.FIN.                   | N,FI,2D,MV         |                    | (mv por att 19)                         |
| 29 | BONIFICACION TECNICA                    |                    |                    |                                         |
| 30 | PRIMA (SOLO P/ENDOSO DE REC.FIN)        | N,FI,2D,MV         |                    | (MV por att 19) (No suma en PREMIO)     |
| 31 | PRIMA TOTAL                             |                    |                    |                                         |
| 32 | CODIGO DE PLAN DE PAGO                  |                    |                    |                                         |
| 33 | FECHA DE VTO. CUOTAS                    | FI,MV              |                    |                                         |
| 34 | IMPORTE CUOTAS                          | N,FI,2D,MV         |                    | (mv por att 33)                         |
| 35 | RECIBOS DE PAGO POR CUOTA               | 7N,MV              | TREC.PAGO          |                                         |
| 36 | CODIGO DE PRODUCTO                      |                    |                    |                                         |
| 37 | AGENTES Y PROMOTORES                    | 5N,MV              |                    |                                         |
| 38 | COD.ACRED.COMISION NORMAL               | MV                 |                    |                                         |
| 39 | COD.ACRED.COMISION REC.FIN              | MV                 |                    |                                         |
| 40 | COD.ACRED.COMISION TECNICA              | MV                 |                    |                                         |
| 41 | COD.CAMBIO COMISION NORMAL              | MV                 |                    |                                         |
| 42 | COD.CAMBIO COMISION REC.FIN             | MV                 |                    |                                         |
| 43 | COD.CAMBIO COMISION TECNICA             | MV                 |                    |                                         |
| 44 | COMISION NORMAL                         | N,FI,2D,MV,SV      |                    | (mv por att 37 y sv por att 19)         |
| 45 | COMISION REC.FIN.                       | N,FI,2D,MV,SV      |                    | (mv por att 37 y sv por att 19)         |
| 46 | COMISION TECNICA                        | N,FI,2D,MV         |                    | (mv por att 37)                         |
| 47 | ZONA ASIGNADA AL AGENTE                 | 2N                 | MPROD              |                                         |
| 48 | CONT. DI                                |                    |                    |                                         |
| 49 | NUMERO DE SOLICITUD                     |                    |                    |                                         |
| 50 | NRO.DE COTIZACION                       |                    |                    |                                         |
| 51 | NRO.DE EXPEDIENTE                       |                    |                    |                                         |
| 52 | ENDOSO QUE MODIFICA                     |                    |                    |                                         |
| 53 | VIGENCIA HASTA ORIGINAL                 |                    |                    |                                         |
------------------------------------------------------------------------------------------------------------------------------------
QUALITAS                                               DISENO DE REGISTROS                                                 Pagina: 2

Archivo: PV

------------------------------------------------------------------------------------------------------------------------------------
|Att | Descripcion                             | Formato            | Vinculacion        | Observaciones                           |
------------------------------------------------------------------------------------------------------------------------------------
| 54 | COD.CONDUCTO DE PAGO                    |                    |                    |                                         |
| 55 | CONDUCTO DE PAGO                        |                    |                    |                                         |
| 56 | ACREEDOR PRENDARIO                      |                    |                    |                                         |
| 57 | MARCA DE ANULACION AUTOMATICA           |                    |                    |                                         |
| 58 | RECIBOS CONSOLIDADOS (S/N)              | 1X                 |                    | (S/N)                                   |
| 59 | CANTIDAD EJEMPLARES FRENTE POLIZA       | 1N                 |                    |                                         |
| 60 | EMITE RECIBO EN LA PRIMER CTA (S/N)     | 1X                 |                    |                                         |
| 61 | NRO DE ITEMS ASOCIADOS                  | MV                 |                    |                                         |
| 62 | TIPO DE ENDOSOS ASOCIADOS               | MV                 |                    |                                         |
| 63 | ENDOSOS ASOCIADOS                       | MV                 |                    |                                         |
| 64 | CODI. COBRANZA COAS.                    | MV                 |                    |                                         |
| 65 | PAGOS NRO.                              | MV                 |                    |                                         |
| 66 | FECHA DE AMORTIZACION                   |                    |                    |                                         |
| 67 | FECHA DE REHABILITACION                 |                    |                    |                                         |
| 68 | NUMERO DE SINIESTRO                     | MV                 |                    |                                         |
| 69 | CODIGO DE SUCURSAL                      |                    |                    |                                         |
| 70 | FECHA DE DESPACHO                       |                    |                    |                                         |
| 71 | FECHA DE PROCESO                        |                    |                    |                                         |
| 72 | LINEA                                   |                    |                    |                                         |
| 73 | HORA DE INICIO DE CARGA                 |                    |                    |                                         |
| 74 | HORA DE FIN DE CARGA                    |                    |                    |                                         |
| 75 | PERSONALIZACION DE TRANZACCIONES        |                    |                    |                                         |
| 76 | MARCA DE IMPRESION FRENTE               |                    |                    |                                         |
| 77 | MARCA DE IMPRESION CHEQUERA             |                    |                    |                                         |
| 78 | CODIGO DE OPERACION (COAS)              |                    |                    |                                         |
| 79 | POL/END EN COAS RECIBIDO U OTORGADO     |                    |                    |                                         |
| 80 | COMPANIA PILOTO                         |                    |                    |                                         |
| 81 | COMPANIAS PARTICIPANTES                 | 3N,MV              |                    |                                         |
| 82 | % PARTICIPACION CIAS. S/PRIMA           | N,FI,2D,MV         |                    | (mv por att 81)                         |
| 83 | % PARTICIPACION CIAS. S/PREMIO          | N,FI,2D,MV         |                    | (mv por att 81)                         |
| 84 | COD.GASTOS DE PILOTAJE                  |                    |                    |                                         |
| 85 | GASTOS DE PILOTAJE EN COAS.CED.         |                    |                    |                                         |
| 86 | GASTOS DE PILOTAJE EN COAS.REC.         |                    |                    |                                         |
| 87 | GASTOS PROD. COAS.REC. VIDA             |                    |                    |                                         |
| 88 | COD.LIQ. COMIS. NORMAL                  |                    |                    |                                         |
| 89 | COD.LIQ. COMIS. REC.FIN                 |                    |                    |                                         |
| 90 | COD.LIQ. COMIS. TECNICA                 |                    |                    |                                         |
| 91 | CODIGO DE CANCELACION                   | 2N                 |                    |                                         |
| 92 | REASEGURO AUTOMATICO (S/N)              |                    |                    |                                         |
| 93 | COD.REASEGURO                           |                    |                    |                                         |
| 94 | NRO. DE REASEGURO                       |                    |                    |                                         |
| 95 | TURISTAS                                |                    |                    | 1.- TURISTAS MULTIENTRADA               |
|    |                                         |                    |                    | 2.- TERRITORIALIDAD                     |
|    |                                         |                    |                    | 3.- CVE. TARIFA/RANGO FECHA             |
|    |                                         |                    |                    | 4.- REFERENCIA POL EXT.                 |
| 96 | COD.CAMBIO CAMBIO                       |                    |                    |                                         |
| 97 | CAMBIO DE MONEDA                        |                    |                    |                                         |
| 98 | SUMA ASEGURADA         M.E.             |                    |                    |                                         |
| 99 | PRIMA TOTAL            M.E.             | N,FI,2D,MV         |                    | (mv por att 19)                         |
|100 | DERECHO DE POLIZA/END  M.E.             |                    |                    |                                         |
|101 | RECARGO FINANCIERO     M.E.             |                    |                    |                                         |
|102 | I.V.A. M.E.                             |                    |                    |                                         |
|103 | BONIFICACION           M.E.             | N,FI,2D,MV         |                    | (mv por att 19)                         |
|104 | BONIFICACION REC.FIN.  M.E.             |                    |                    |                                         |
|105 | BONIFICACION TECNICA   M.E.             |                    |                    |                                         |
|106 | PRIMA (SOLO P/ENDOSO REC.FIN) M.E.      | N,FI,2D,MV         |                    | (MV por att 19) (No suma en PREMIO)     |
|107 | PRIMA TOTAL            M.E.             |                    |                    |                                         |
------------------------------------------------------------------------------------------------------------------------------------
QUALITAS                                               DISENO DE REGISTROS                                                 Pagina: 3

Archivo: PV

------------------------------------------------------------------------------------------------------------------------------------
|Att | Descripcion                             | Formato            | Vinculacion        | Observaciones                           |
------------------------------------------------------------------------------------------------------------------------------------
|108 | IMPORTE CUOTAS         M.E.             | N,FI,2D,MV         |                    | (mv por att 33)                         |
|109 | TERMINAL                                | N,3D               |                    |                                         |
|110 |                                         |                    |                    |                                         |
|111 |                                         |                    |                    |                                         |
|112 |                                         |                    |                    |                                         |
|113 |                                         |                    |                    |                                         |
|114 |                                         |                    |                    |                                         |
|115 |                                         |                    |                    |                                         |
|116 |                                         |                    |                    |                                         |
|117 |                                         |                    |                    |                                         |
|118 |                                         |                    |                    |                                         |
|119 |                                         |                    |                    |                                         |
|120 | POLITICA DE CANCELACION                 |                    |                    |                                         |
|121 | GASLOCK                                 |                    |                    |                                         |
|122 | USUARIO QUE EMITE                       |                    |                    |                                         |
